LOCATION,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,131.25339824713,95.99144735026,80.807239066007,84.490552145758,98.448792244281,88.137525419956,90.643429144517,97.053336527053,81.940078859132,85.537120478376,104.06552626267,102.27505547924,92.56329140361,129.29218923663,102.80546965814,129.11957189689,121.18003955344,110.8359335604,115.15649043012,101.89658912394,91.377811252208,93.727121470002,93.529399697716,77.258855796346,74.309860255598,79.532168660051
ARG,,,,,,,,,,,,,,,143.6870511495,223.420427850755,205.92576791804998,122.14779446889,121.58165124416,123.42743460852,123.71834682853,,193.040261072645,123.05649353337,,
ARM,,,,83.30436830872,101.6506325661,74.133495973807,69.716128305041,77.68741925999,77.456065930603,83.500887362605,86.31261830494,103.98256581342,112.22635108527,126.50812345829,139.97712216667,112.53104125492,102.1784515377,113.67831747747,107.82777650457,109.05637248135,101.97764526407,118.26823851764,90.935532497362,94.742986726813,,
AUS,144.092357537715,147.925796019445,140.187974536435,123.45230380044151,119.616532560927,118.491056798753,120.8598306214505,114.34744089908949,110.5128101892575,102.312169299698,97.8111651494825,98.3287103665615,94.2474935496205,92.7296293259705,80.784438131536,81.929503984528,72.8260940692525,67.589119155837,67.417548544487,60.206177961871,57.151481095807995,58.70714931993351,61.8853690620805,57.414992198083,52.406398259363,54.189517299135
AUT,228.51025641618997,202.87177782380502,169.00474070279,179.006036984655,153.64043394166998,169.103021722225,150.10952384607998,145.387040678285,143.23979821549,143.21899935305998,133.451445409445,115.5374485976565,108.7787731402185,102.02355379639701,99.36300033086201,91.822633464662,79.1464676095755,74.087941059239,74.3504064204905,62.9408999223955,58.830693244161,64.7502009778635,57.721551931795,54.6359864021045,53.332692502651,53.5953427196315
AZE,145.7154139792,128.8223812622,98.286744815149,77.185596274679,75.066346518387,69.399642980176,74.050145366896,68.917052963803,78.561420468799,87.92703513438,97.634382712334,126.90884608281,121.04354385324,129.00143334926,120.04473149691,103.94263350174,102.16104291294,110.75884855275,125.64835843862,123.60885612853,117.88051257887,92.648814048545,77.78383104737,76.110968980924,72.637488328453,81.909004583113
BEL,251.29072593746997,220.749189369295,196.36630831245998,194.67735735513,211.0214855649,193.12478037790498,199.858991827715,199.521518791615,179.860800171765,160.268251474475,151.725490444985,145.783898845585,140.893054598475,137.76049693240998,121.34531696281249,116.975588761447,102.543154713324,104.4573294322015,96.97650831275749,88.85127343426751,85.873020553548,86.8945705155835,75.44312131522899,67.80988582163499,66.5178631712795,56.251907536145
BGR,164.62190080026,150.36758569733,121.25087859056,110.08090886648,121.47583817723,127.51771363541,123.86520136908,126.23074981065,122.36573932831,123.46747603027,220.10581522870498,217.204930906445,314.820421964525,269.053733789825,258.47159555206997,211.08311893302,176.98224772256,146.375356153631,130.3003476092245,127.1407597354875,136.301311477524,141.660243946292,141.952811947031,147.51327378624802,131.752699836944,90.026020100173
BIH,37.850651996533,56.149697705697,52.863319099198,61.562015700991,,,,,,122.26976271426,116.09391014384,101.98306603058,107.02645970281,114.27702771298,115.60167073714,102.2500908741,97.693357283499,97.236542913136,84.050583471938,94.28090345946,85.293259477603,99.43543418147,94.794651455423,194.73394706699102,175.1724703332295,
BLR,163.29324337538,174.71061408672,170.27559055118,176.63338934467,183.63293276393,176.62773276812,159.72568066287,160.7485645687,175.15499392431,180.05973206009,173.48146677347,173.11824452098,179.69949580028,158.77078362377,164.14803339846,139.0588701835,125.38744985424,126.6735154814,109.77870451619,94.443300584186,79.898582628697,69.971219067242,61.884744084482,62.01133175494,57.890025611855,53.344003542464
CAN,150.856325450365,153.70390036202,143.62688040257498,138.933586127575,129.537080955918,133.988842096597,128.5173825545535,120.63332525635701,125.02175294824801,117.465043142056,114.48192604709351,120.683840767438,116.80413103275299,108.6959693568435,94.2017090305865,84.75471397598301,84.12547099321151,74.9229981566335,76.2736998453145,70.2070992273415,65.0809748907355,65.933931968471,65.4176148636935,63.16923481969749,64.27984107996849,
CHE,125.96606299594751,126.8259132381535,112.1651230403825,105.78087448276099,106.412212076461,102.366352838223,102.586556116762,92.82779094640199,86.34689170780399,90.959846696906,83.95519349659699,66.665963325301,59.737601594423,61.4421411400715,56.477635083417,54.7741496442625,50.62477091857,48.675303136479,50.6673529424005,39.654124216289006,35.3023350991855,36.1930506210645,30.440397133843497,32.0326609165,32.130786259787,25.578623452012
CHL,161.69314021829,170.85201962107,171.55251426405,165.55279172094,731.4189181703,585.36692414598,602.84363006175,543.5742233272499,528.667416594265,573.94424786995,567.50625225358,497.350137611055,478.459311012605,451.73045095149996,461.264507557365,377.265722542855,374.27590022100003,345.412024306445,311.46318613750003,312.12051922082503,296.40272413731003,289.2436129343,284.11831273811003,241.626966186405,233.818810901715,104.09434594844
CZE,266.894043476515,260.46776471039,251.51333136223502,249.69504645562,206.20389671867503,217.68193198154,232.71948907442498,210.760248253395,222.402316960865,220.14839310044,208.41162009781,190.19593304556,152.66814162044,170.31714805419,144.919272584785,118.13091676452001,104.884011749085,100.1942875313245,95.08756973067099,82.44302398771501,86.7710582951045,91.767339596537,73.407198768871,67.825050621292,75.2646168340285,69.3896407822575
DEU,165.679026867565,157.41659790813,144.04359418672,139.30683524063,126.055429537831,124.11714282451001,118.6684116951865,108.8259854667815,105.64909071662649,101.68624143419851,89.4096603003945,81.668399939148,77.2584975984235,74.6558696379855,72.64024311110751,67.1995786735405,58.650824869663495,64.350011646699,57.17356491195,52.567846317681,52.728523025024,53.3694911099565,48.823908805128,47.8495724426715,48.7546840851345,44.897079968119996
DNK,181.08989472596,192.610323796735,165.702083501307,154.0198083200695,154.2576236994915,156.9140874594865,149.994957869892,128.75174165710501,136.55988538609301,126.40087956570801,107.32331682052052,94.935142829133,85.67953966911901,110.5343526584,107.2428071765175,79.834284790685,67.0697046068135,57.703837530959504,43.4412119508745,49.304466419685,46.6399490330915,45.042046199954996,52.5827717066155,42.806520372576,41.219967472099,47.3436326375795
ESP,209.30862871792,209.65535329873,195.17970488887,139.8992830012,148.09747205297,186.966489904205,183.497344672645,173.39092596265,163.144853399695,162.82002897346,137.896052384045,124.98825215335,111.575569782031,100.634737359345,80.1642947662015,70.132710586972,63.7247664681235,52.783632181757994,48.853980792095996,43.4540471377535,43.705116953959,43.4575365300485,46.0133064294405,45.862926932236,44.6158547033185,
EST,248.88650638558,231.09574185213,150.46687115091,199.35192760453,204.8831444657,166.87718127178,146.02876909917,143.35988012521,161.67035197738,119.64514999416,124.76606363069,125.48209112214,151.4690268115,230.10901172481,149.651007055044,114.3329909909695,89.619841773929,111.80220208551751,93.446187136727,84.670907645657,79.5835876199265,68.235617017241,68.8631505254245,45.528015237106004,62.2431949799445,39.198245124718
FIN,150.88323255852998,138.9140358950275,125.7427046567125,134.1635556160085,121.830592586732,127.81599182977251,114.818058316686,123.1218305957255,116.580706371876,104.886593700752,101.1261869730835,99.2887658428905,85.747302819204,94.47713482293051,83.47022022442249,63.801277518254,60.636135193994505,63.504862841782,54.421852260226004,54.1709750354655,47.383902768385994,55.118066241506995,51.826241108408,47.135100827581994,46.7395520373375,40.73894799333
FRA,217.890238564605,212.96123719532,202.93786360606,198.3356769381,204.386750579905,191.138256343145,178.91887939274,177.73395881627,164.35010767597998,128.632006854907,117.548699361101,110.822964017696,97.3457571181125,94.6382508197685,86.9531373723885,86.4987335178285,80.3699224128705,79.302624110972,71.022829869089,63.3485930675415,65.349977322792,66.5296634542525,66.46095175883251,65.4605941906115,61.453960818908,48.37467143361
GBR,106.62559685082499,104.900257444915,101.557199232194,99.755196564881,94.030015089024,91.624986325422,90.80813917736,89.3844154380595,87.2676800898285,87.755463177755,78.9208067681115,76.981981690745,75.13603000306,69.0718723650225,59.283638289200496,52.14657886839299,42.2579521972355,43.268436095724496,39.465947723869,38.3146908902525,39.5977971939535,37.860361864225,38.400769396182994,37.908417614632,37.153165470759,
GEO,102.1489323162,96.61375238797,97.29057980065,103.2204552137,109.81224227408,129.65482469898,122.63525503596,139.00053632286,129.44528297619,144.74651140663,162.1962957116,148.88010641468,173.95351498204,190.92482742934,225.28556309308,193.47638526339,180.89653378474,140.02615773814,162.24737011763,138.2587148718,137.38723358034,161.59876476266,155.86833552202,138.68010871233,123.17025752244,129.28779894108
GRC,294.789606420065,303.70411786067,308.785909308915,290.15517238435996,288.96728146272,265.95541986017497,248.060364211185,220.86327293559498,186.75081926701,179.23566478186,182.454019374985,175.23399290004,170.68334138683,163.533410901055,153.986415636045,142.49161960845998,123.11173151185,111.401079436885,96.758938733382,86.56465020392051,78.5167609591565,78.30002269519349,81.651908839528,71.81773025394,69.3670507222865,67.9044940928655
HRV,172.82799916767,173.15904875077,158.2147582112,157.444894287,142.53767815831,146.70044765797,146.58812228896,150.47764441784,145.74026991935,162.89449339929,141.24425033685,138.51042134313,142.42109836357,143.61225896515,154.07087027998,127.28849263248,99.175239155502,97.649360303246,92.09013679486,147.815090595221,122.5427596552985,137.1812875805225,118.403464756898,125.554079820682,117.04715833748699,73.017824216349
HUN,382.383643045055,376.39190943516996,315.61389268904003,319.03283255651,311.85412779042997,308.26264056858497,280.489817516985,278.943165122515,310.58326265546,276.53132964672,260.17962007811,252.96269998551,253.14652021607998,234.975165268125,186.9898575870215,153.91920678783652,138.6482665485455,121.925603059898,115.2742290047245,109.9289616364785,114.571679492902,115.57506481477199,106.36634943450599,106.1021321923095,104.01786391034801,95.8842396439355
IND,68.171399300093,73.430170514896,76.00533562444,76.907780690145,78.391649938696,78.960893979046,74.685620043626,75.244645213214,77.446875300156,77.36950909589,81.990153009004,82.752856842445,90.733799973972,96.723363620943,99.827615797421,103.19232554257,108.98084105099,113.96167676722,109.22727113394,107.40712477884,107.80375806505,111.53893216192,113.842135423,110.49342530952,,
IRL,224.31460479150002,233.68363054987,231.42395668577998,229.03664572933002,213.23550671511498,183.41687450688,177.749542191975,169.25407049019998,149.4350840106095,128.38538124160948,137.7897467863215,140.1637577412955,122.1901960800875,107.62389797644249,86.9168737188255,74.46200655041599,67.111969368085,58.6533529821065,51.631981468061,58.193714682216495,58.776941872904,48.740774212956495,53.803622878587504,45.083466007436996,39.851804640066504,39.113874247429
ISL,67.3307297532955,134.417418939668,55.08951700436,80.479112614965,139.2616230062725,103.479070754666,149.38354170065,107.68376178907351,122.930748148845,96.6514732545075,94.662044945405,75.3942009714095,116.42427515822999,53.833850994806,41.544267346342,59.379989600257005,27.9616101745955,41.796457749233,30.9483986347465,50.9427992131445,13.4082667924615,52.252875739369,56.533481954886994,47.987805316479495,52.222149133985496,17.074980088460002
ISR,312.873620676905,306.903112363155,247.56028969858,247.61647614023002,243.133209357155,203.509137139272,181.8898436599785,191.4009434772585,181.49899634133698,156.94777518004,160.996576993535,143.8791120193335,132.014023737652,119.76326650125449,120.186569077968,93.472968609754,97.66016856884701,95.77902537038051,70.847670988989,73.370693869697,73.19512835919801,78.8154917297395,80.24859751863801,74.8432860845145,63.380608610557005,68.897919096871
ITA,153.56672400581,150.19625629257,141.46444047415,140.192191047475,143.266083126125,136.95136575202,141.70402453343502,139.99230173412002,135.54667846427,125.196933391095,116.37557659616,114.561346892,109.931654682032,99.29580931928601,86.2507363258795,77.440996876182,74.8672948769415,70.1175469945155,68.10054400695451,61.399688673794,60.52872547592,61.241385518323,58.247506299682996,59.4473185454775,58.156485154245004,55.169667435485
JPN,128.78778361319,126.43440520297,115.11717961776151,109.67321730810949,104.482123708932,99.9492681385945,99.78083248927649,96.0258395850515,91.591008873666,84.6445261030315,81.0979094427945,75.497590608861,68.8277300217625,62.667053501737,57.074648451697,54.953065155303,54.964890378612,52.301477992387504,49.790484337135496,48.779141741538496,45.609901359403,45.9587697960595,44.2178913670805,41.712790902262995,39.235490491690996,36.95353273642
KOR,637.8502486452451,584.07496538333,653.1927469577149,555.574279309895,404.999017111865,413.65150916556,451.74345532536495,342.18681192968495,294.70493724149003,281.12755992026996,248.926696937195,238.36558794327,232.04684183204,221.64408326565,206.497521812155,202.37411993713502,187.67599714162003,174.24842641146,176.761148291825,164.141155013505,150.6694697070865,142.94939509838798,129.239381319011,123.09410201420451,107.0567767252185,64.766165520814
LTU,540.7680910978399,468.75296648072504,416.93549753331,480.6294215571,493.966278257865,415.97907572631,340.730019851865,356.813808924425,336.834309142295,328.09977560407503,341.39927197849,333.433620310815,311.052804482395,301.977786408285,196.43522684161002,145.193364884475,117.97978621933402,116.951815777581,118.01382858211,99.516615636594,135.1899316635575,119.7605598911225,92.9481873825,94.2713216731915,83.999644759696,86.529717722841
LUX,208.337879828465,212.00689553877498,212.942358348955,176.78538938836,163.71636209807,161.829983657545,206.25041501614498,184.91705380749,160.40348704915,133.91619485999502,123.87409433917,114.26501273037499,102.3220562041095,104.884660815214,79.84331739565451,107.067457396637,70.448636312809,71.1969647847,71.544289411967,92.2924603629115,72.0369527435505,72.2100387348985,62.7456960077635,66.8615215109535,66.9520188638855,
LVA,284.44005772903,245.86971078318,223.82999989419,215.79619960285,260.16392401886,252.66870865374,248.35800722266,221.20769991058,224.2256315869,215.47626592306,228.0036162434,197.4272813236,183.46911700867,190.42641427971,145.13241495746,118.59909257686,103.9305286393,86.905480337271,87.00700332642,158.945279495183,186.033668466205,161.5282282196015,138.119031474645,116.015818201525,126.6700600750695,70.577570239059
MAR,,,,,,,1145.6691405269148,,,,,,,,,,735.222861287055,128.79077904389,729.6103452642,639.907868578675,558.437291782785,580.37164440449,553.085667740095,511.56528274827,452.4684565384505,
MDA,182.16921023238,184.26267999907,188.0260018918,193.83251508078,167.6697886645,135.16580851169,138.86119455514,143.97110705554,141.55623905688,146.43457647675,139.88926987127,135.38260821693,132.63451379208,161.47954238647,177.47782050263,170.02135915144,157.95982997651,154.90414999757,154.22503145701,105.2929101841,113.40765501671,105.13206775021,110.9854148749,109.61258846135,101.2546336005,103.09910646187
MEX,56.734740961263,51.034609985885,51.638783083659,52.583736508784,52.719070929231,52.377379077804,193.718656851438,174.411166688069,153.384852349427,139.938054197291,132.254119065824,128.59176709373298,121.340753258016,125.6305654275675,116.0998430027495,100.45851502208801,101.584326223282,85.24629445076799,84.42579702918599,68.5704957638375,65.301014154348,57.971108746759,53.36775855327,43.5264528930755,,
MKD,74.178623133739,79.162910210099,77.408601301972,89.017892596412,92.939712940538,106.69859720983,79.613960750317,52.378010634205,85.898577207203,57.464939082295,75.350696726571,69.408277446727,67.858027435,83.759960414946,78.362589506282,77.330586808659,78.232864467357,82.992076669238,63.636600301406,285.446477502809,62.566928565413,205.3856279398365,222.9133604697235,204.85561544265602,172.153363298189,63.356178355322
MLT,,,,,,30.961509683212,38.452960493428,40.709567766164,40.407203594221,42.651198498678,32.397300557234,39.620239999604,24.672594668746,34.421376658373,36.64086335645,50.911929634864,36.187480096886,40.839074826794,21.427142952375,49.148148081227,26.5020449843915,28.2995069947455,57.471911459451505,45.973268392849,,
MNE,,,,,,,,,,,,154.65738505293,138.20576399333,198.0921453217,181.53262157418,161.73535567222,153.36730015434,93.536468740273,74.121698160332,119.12293325735,104.533539184,81.97261471746,210.05211282036498,196.43189192054,,
NLD,84.379748392332,86.29274094337,80.551183870601,79.112657064248,73.151124429553,75.005906873273,73.215851822167,67.492699196943,66.010569493494,67.055762660073,54.109566282653,50.061679420446,49.614278047101,65.449460131916,60.888847035510494,57.339813870979,50.340163951305996,51.3353863236125,49.961937178652,43.601510431112004,43.504886352080504,47.1440498365835,47.2225124600335,45.5631402910345,49.707639003931,38.135678783351
NOR,91.8094102122095,97.94810376695949,80.636686790295,95.77724720833851,107.408302225945,91.1017530059505,99.36228870813301,79.221334267896,87.91826002807599,78.2234490352165,70.717619493928,60.541639857202,64.024177255927,60.897844339432005,65.5085481333485,53.6178454746335,51.62629977049,40.884306572202505,34.594343495765,43.876166501902006,33.9583822622925,26.620397670222502,30.274995140792498,23.4616429485075,23.7297672275035,20.194857940394
NZL,206.803376224025,202.785041990635,176.84707323444,183.891926916975,168.325795500935,167.67441497884,148.65810270313,145.029807856855,126.00854544698001,139.527835140895,127.67181026982499,115.81690293657249,109.8580212685235,115.844793018449,99.3021279011925,104.25150992047699,101.1358245459015,76.30509399230951,82.31933970895051,66.7561979166095,75.340376545684,79.5840189192945,79.5543875890485,88.8076768523515,86.58439634892599,71.58836689038
POL,174.974986153,178.7796439321,164.63698954831,189.1866577869,183.1185350331,174.08051795602,164.51190658191,144.68701641358,152.41811456464,246.82990849549498,242.69057332058497,230.019754219245,210.895104172875,212.83112079942998,194.67540683637,163.71470441253499,136.148434297145,141.61576850166,118.88429321889899,109.47634842676501,102.597568743019,92.26725724436551,92.747404769206,85.039161193764,84.1424645895885,76.611352164293
PRT,449.620857203705,469.361968339345,445.988622067665,391.34043444707,357.41825842454,319.0932917232,285.996306438785,249.17506041088,243.919403497865,222.648561758395,182.28788917541002,173.11873986329,133.38962925046098,132.432425417296,119.32491995065999,98.7223536599615,125.1561182227215,84.394500244375,96.306711026562,86.100114203825,86.419682903737,80.0739053357855,75.7470555898685,78.0488322994805,65.637075398621,60.470813484349
ROU,624.3670257387851,576.59904642833,579.80518055723,552.821475888685,497.3548913148,434.05471239341,423.52065521992,405.858757902975,386.7577733977,350.179607276145,365.97797410841,389.288766137625,404.86518263041,396.03398312366,393.1723224588,345.38582173735,290.04313086227,244.624112031545,241.01494672082498,211.89700917899052,199.9045922195165,200.4228076562685,193.8347766552965,185.601434798717,169.016380270311,96.298182154831
RUS,239.872655846,220.99967024943,198.89291538076,187.03263686048,196.52499440919,201.86832332646,201.87334287474,211.78753985865,228.77848331861,246.12748114883,239.5130343096,236.60312577555,228.75975560847,233.24094681931,209.720497417,193.71035049261,185.97899153534,195.52897635485,195.46552795968,188.31834643322,356.636633000465,302.085847635155,140.69324441587,234.85326596866497,222.48170771394,117.61850951423
SRB,,,,,,145.88083578048,139.42945149146,169.65567627511,112.98572858187,114.69682007745,127.69395042875,113.02595202189,121.43177780575,130.32441974813,122.03713030708,110.37034578292,226.2229803975195,240.44880039375502,219.1819779877575,202.7164306958905,166.12512086505848,181.993183437999,178.30674849016998,159.969552306119,148.405405511576,76.458158596683
SVK,127.19002994764,130.17533199838,118.73387996824,153.80925905733,159.7249688156,124.53623226007,120.25119137754,116.19547387954,116.42370193152,121.5251348594,113.17355015003,111.6734697524,113.1572472564,122.98539320533,112.65546593724,71.29057854161,65.474304766752,60.203201550686,65.093824796642,77.4860822406245,88.862833825398,90.64592033225,78.2579500491765,76.198554091381,69.794724440478,49.504287896403
SVN,253.83989387984,208.55612823337,195.61225126067,179.76229080604,155.93231629129,168.42784707357,157.37144437322,139.5540294971,134.3674950991,172.150090051225,193.71664737436998,179.35559868926998,175.91773464786502,194.5739236297,138.194774279,107.2855386757965,85.4929552570785,87.05199052629351,79.6917906144385,76.67454802654649,66.1467457852415,72.7842282195055,78.0642928264825,61.685717856005,52.7557744660285,58.081976590546
SWE,99.733945839173,96.2543517474945,89.7988253954795,90.0552714068685,87.5639146267875,94.258112845114,94.33512478301151,91.2900683711685,86.8072640682225,81.20626915371099,72.8574523243455,65.944430058255,65.821519758622,68.623626514187,56.970231808377505,50.9879743323465,37.7051072788795,45.270599064374,39.721946979594996,35.9047997155495,36.7156131694155,34.723438540555,35.5558596014415,32.6077700510055,41.507888041733,28.106774781622
TUR,,,,,,,,,,,,,,,,,,,,,,253.689172013069,234.6047380647515,227.9945709249395,199.62345016706848,65.600206833029
UKR,145.60470249261,146.17726079732,129.87241910149,118.35255145806,110.12174814785,106.07158674558,105.43653981068,122.96968501348,124.10152425799,149.52016450606,146.8021348731,153.46510471218,162.26457050137,205.85105942665,166.84613398938,116.12623634108,106.27689663875,107.38176093223,112.53836141251,106.24395247024,98.051438062724,88.652097455917,75.76990781002,76.553939577929,,
USA,183.127269541555,184.6208301375,182.38521648056502,180.235247447375,174.94834380351,172.823198263455,170.9627565271,169.402947737865,170.03535270142498,166.880639600705,163.15846823763502,162.18573893589002,156.50174637697,148.60721585164498,133.676862518415,120.646943776095,117.46345659497499,113.39489947999,116.63827809882,112.521188985845,110.778448825745,118.40601886848,123.02848393912001,121.06732518717,118.10614343020501,
